paper_id,0,1,2,3,4,5,decision
09QFnDWPF8,8.0,5.0,7.0,,,,Accept
pnSyqRXx73,5.0,6.0,7.0,7.0,,,Accept
EqJ5_hZSqgy,7.0,7.0,3.0,,,,Accept
xnI37HyfoP,7.0,6.0,6.0,,,,Accept
OoNmOfYVhEU,6.0,5.0,6.0,6.0,,,Accept
0Dh8dz4snu,6.0,4.0,7.0,,,,Accept
s1yaWFDLxVG,7.0,7.0,7.0,5.0,,,Accept
02dbnEbEFn,4.0,5.0,8.0,,,,Accept
7eUOC9fEIRO,7.0,7.0,6.0,5.0,,,Accept
BUMiizPcby6,5.0,6.0,7.0,,,,Accept
kpSAfnHSgXR,6.0,5.0,5.0,,,,Accept
qx51yfvLnE,4.0,6.0,5.0,7.0,,,Accept
KRk0lBRPpOC,4.0,7.0,3.0,7.0,,,Accept
TiZYrQ-mPup,6.0,8.0,7.0,8.0,,,Accept
xuw7R0hP7G,7.0,6.0,6.0,6.0,,,Accept
yLilJ1vZgMe,6.0,6.0,7.0,7.0,,,Accept
XvI6h-s4un,7.0,6.0,7.0,,,,Accept
ZMFQtvVJr40,8.0,7.0,5.0,,,,Accept
6iqd9JAVR1z,7.0,6.0,6.0,,,,Accept
uPyNR2yPoe,7.0,4.0,7.0,7.0,4.0,,Accept
82N_rasrUT_,6.0,3.0,5.0,7.0,5.0,,Accept
WBv9Z6qpA8x,7.0,7.0,5.0,4.0,,,Accept
F_9w7Wl78IH,6.0,7.0,6.0,,,,Accept
ffy-h0GKZbK,6.0,3.0,6.0,,,,Accept
6dfYc2IUj4,4.0,6.0,6.0,6.0,,,Accept
1vusesyN7E,6.0,6.0,7.0,5.0,,,Accept
SiSv_XDMksL,7.0,6.0,6.0,7.0,,,Accept
WcxJooGBCc,4.0,7.0,7.0,6.0,,,Accept
CLMuNJSJfhv,5.0,7.0,4.0,,,,Accept
St5q10aqLTO,8.0,7.0,7.0,5.0,,,Accept
9sKZ60VtRmi,7.0,6.0,6.0,,,,Accept
YRDXX4IIA9,6.0,8.0,7.0,7.0,,,Accept
cxZEBQFDoFK,5.0,7.0,6.0,7.0,,,Accept
8gUjpEsLCU,4.0,7.0,6.0,,,,Accept
QTjJMy-UNO,7.0,6.0,7.0,6.0,,,Accept
HBGvWy9Vxq,6.0,5.0,7.0,,,,Accept
GisHNaleWiA,8.0,7.0,9.0,,,,Accept
hjqTeP05OMB,7.0,7.0,6.0,7.0,,,Accept
8ViFz-5Mnnv,4.0,4.0,6.0,6.0,5.0,,Accept
M_et7iOQC_s,6.0,6.0,5.0,,,,Accept
q9XPBhFgL6z,3.0,5.0,5.0,6.0,7.0,,Accept
FR289LMkmxZ,8.0,7.0,7.0,7.0,,,Accept
m6HNNpQO8dc,6.0,7.0,7.0,,,,Accept
OptX3Db1P4,5.0,6.0,6.0,,,,Accept
uOdTKkg2FtP,5.0,7.0,6.0,,,,Accept
zBlj0Cs6dw1,7.0,5.0,5.0,6.0,,,Accept
VPhhd5pv0Qs,6.0,8.0,3.0,7.0,,,Accept
d19Dsqtw421,7.0,5.0,6.0,7.0,,,Accept
6mej19W1ppP,7.0,6.0,6.0,,,,Accept
QFMw21ZKaa_,6.0,7.0,5.0,5.0,,,Accept
lKULHf7oFDo,7.0,7.0,6.0,,,,Accept
VHzCiK727EL,6.0,4.0,4.0,,,,Accept
2S_GtHBtTUP,7.0,6.0,5.0,,,,Accept
TATzsweWfof,4.0,5.0,5.0,7.0,,,Accept
h2imPVlCCyN,6.0,6.0,7.0,7.0,,,Accept
VoLXWO1L-43,6.0,6.0,6.0,5.0,,,Accept
8bk68fodvD5,5.0,6.0,6.0,6.0,,,Accept
opw858PBJl6,7.0,8.0,6.0,8.0,,,Accept
2FNnBhwJsHK,5.0,5.0,7.0,,,,Accept
epjxT_ARZW5,7.0,7.0,6.0,7.0,,,Accept
9-vs8BucEoo,6.0,7.0,7.0,,,,Accept
vWUmBjin_-o,7.0,7.0,5.0,6.0,,,Accept
u_7qyNFwkP8,6.0,6.0,4.0,8.0,,,Accept
cUOR-_VsavA,6.0,4.0,6.0,7.0,,,Accept
Roiw2Trm-qP,6.0,3.0,6.0,5.0,,,Accept
0gouO5saq6K,6.0,8.0,7.0,7.0,,,Accept
fWHOcnHb1n,7.0,5.0,4.0,,,,Accept
0VhrZPJXcTU,5.0,3.0,3.0,,,,Accept
W72rB0wwLVu,7.0,5.0,6.0,7.0,,,Accept
ft4xGJ8tIZH,4.0,6.0,7.0,5.0,,,Accept
9cPDqh9fQMy,4.0,5.0,5.0,5.0,,,Accept
8oj_2Ypp0j,6.0,5.0,7.0,,,,Accept
ikWvMRVQBWW,7.0,6.0,5.0,7.0,,,Accept
1l5hEEK_j13,6.0,7.0,6.0,6.0,,,Accept
9xRZlV6GfOX,6.0,8.0,7.0,6.0,,,Accept
weoLjoYFvXY,4.0,4.0,4.0,,,,Accept
JCbLxJ1E6SO,8.0,7.0,5.0,8.0,,,Accept
5wdvW_hI7bP,5.0,5.0,5.0,,,,Accept
O3My0RK9s_R,5.0,7.0,6.0,8.0,,,Accept
hdZeYGNCTtN,7.0,7.0,6.0,,,,Accept
NqDXfe2oC_1,7.0,8.0,6.0,,,,Accept
anqloMQdWtP,3.0,7.0,6.0,,,,Accept
J4pX8Q8cxHH,5.0,7.0,4.0,4.0,,,Accept
5Z3GURcqwT,7.0,3.0,5.0,,,,Accept
WWVcsfI0jGH,7.0,7.0,7.0,4.0,,,Accept
tX_dIvk4j-s,5.0,4.0,6.0,4.0,,,Accept
AluQNIIb_Zy,6.0,5.0,7.0,6.0,,,Accept
mux7gn3g_3,4.0,6.0,4.0,,,,Accept
WBhqzpF6KYH,7.0,4.0,6.0,6.0,,,Accept
KQYodS0W0j,7.0,7.0,,,,,Accept
L-ceBdl2DPb,3.0,4.0,6.0,,,,Accept
6Kj1wCgiUp_,7.0,6.0,7.0,,,,Accept
7-LTDcvNc_,6.0,7.0,5.0,,,,Accept
sADLRl2STMe,5.0,6.0,8.0,7.0,,,Accept
R9KnuFlvnU,6.0,6.0,7.0,,,,Accept
Od4oKKwBx7Z,3.0,7.0,6.0,7.0,,,Accept
kjR8GiwqCK,6.0,6.0,7.0,,,,Accept
o-mxIWAY1T8,7.0,8.0,7.0,5.0,,,Accept
NtJyGXo0nF,6.0,5.0,9.0,,,,Accept
11WmFbrIt26,6.0,6.0,5.0,6.0,,,Accept
yb3HOXO3lX2,6.0,6.0,8.0,5.0,,,Accept
5yjM1sQ1uKZ,5.0,6.0,6.0,7.0,,,Accept
5WuQNQwy56M,6.0,7.0,8.0,7.0,,,Accept
TYMGhqlSFkC,5.0,7.0,6.0,4.0,,,Accept
pgF-N1YORd,6.0,5.0,7.0,,,,Accept
LJdUUOmWjX,8.0,7.0,8.0,,,,Accept
snUOkDdJypm,7.0,7.0,7.0,8.0,,,Accept
g2dXxjD9Ucv,7.0,6.0,4.0,7.0,,,Accept
TG8KACxEON,7.0,6.0,8.0,5.0,,,Accept
0OGMrvHnQbb,7.0,4.0,6.0,,,,Accept
B5qRau1IxjM,4.0,6.0,6.0,,,,Accept
EvtEGQmXe3,6.0,7.0,6.0,,,,Accept
5oS20NUCJEX,8.0,6.0,4.0,,,,Accept
yKDKNzjHg8N,7.0,8.0,6.0,8.0,,,Accept
mamv07NQWk,5.0,7.0,8.0,,,,Accept
4wrB7Mo9_OQ,6.0,5.0,5.0,,,,Accept
3y80RPgHL7s,7.0,7.0,4.0,5.0,,,Accept
OJ4mMfGKLN,6.0,6.0,8.0,8.0,,,Accept
lJx2vng-KiC,7.0,7.0,6.0,7.0,,,Accept
V22VeIZ9QU,7.0,6.0,7.0,6.0,,,Accept
9HBbWAsZxFt,3.0,7.0,6.0,,,,Accept
ue4gP8ZKiWb,3.0,8.0,8.0,,,,Accept
A2Ya5aLtyuG,6.0,7.0,7.0,,,,Accept
R1fj6401HJF,4.0,7.0,7.0,6.0,,,Accept
LivA_JyyJM,6.0,4.0,6.0,,,,Accept
p-56bnzZhQ7,8.0,8.0,7.0,6.0,,,Accept
cUY5OkP3VR,5.0,7.0,6.0,,,,Accept
yJV9zp5OKAY,8.0,4.0,5.0,5.0,,,Accept
9xVWIHFSyfl,7.0,7.0,7.0,,,,Accept
mzze3bubjk,8.0,7.0,7.0,,,,Accept
6qdUJblMHqy,4.0,4.0,8.0,7.0,,,Accept
yJE7iQSAep,8.0,5.0,7.0,6.0,,,Accept
kQgLvIFLyIu,7.0,7.0,5.0,,,,Accept
SyD-b2m2meG,5.0,7.0,5.0,7.0,,,Accept
w-Aq4vmnTOP,7.0,7.0,8.0,6.0,,,Accept
StlwkcFsjaZ,4.0,5.0,8.0,5.0,,,Accept
wph_3smhuec,6.0,6.0,7.0,2.0,,,Accept
agihaAKJ89X,7.0,6.0,7.0,,,,Accept
IUikebJ1Bf0,6.0,8.0,4.0,6.0,,,Accept
XzeTJBq1Ce2,5.0,6.0,6.0,5.0,,,Accept
NoAZRVthZL,6.0,7.0,6.0,6.0,,,Accept
hTCZbhKaDJz,5.0,8.0,7.0,7.0,,,Accept
q_AeTuxv02D,5.0,4.0,7.0,7.0,,,Accept
HnIQrSY7vPI,4.0,5.0,6.0,6.0,,,Accept
K1NPDQ7E-Cl,7.0,7.0,4.0,,,,Accept
pBJe5yu41Pq,7.0,7.0,6.0,7.0,,,Accept
i-k6J4VkCDq,6.0,5.0,4.0,5.0,,,Accept
yHFATHaIDN,6.0,7.0,5.0,6.0,,,Accept
zz0FC7qBpkh,7.0,8.0,3.0,6.0,,,Accept
isPnnaTZaP5,6.0,4.0,4.0,3.0,,,Accept
